rumor's strength,# low,# hight,alpha,beta,total heard α: 0.25,total heard α: 0.50,total heard α: 0.75
0.5,450,50,0.25,1,138.138,192.764,219.788
0.5,425,75,0.25,1,154.694,206.24,231.54
0.5,400,100,0.25,1,169.748,213.404,239.638
0.5,375,125,0.25,1,182.424,225.848,247.742
0.5,350,150,0.25,1,205.682,239.14,256.924
0.5,325,175,0.25,1,227.518,257.602,263.546
0.5,300,200,0.25,1,252.96,264.834,275.116
0.5,275,225,0.25,1,273.042,281.364,282.774
0.5,250,250,0.25,1,293.932,292.062,289.002
0.5,225,275,0.25,1,319.866,309.28,301.68
0.5,200,300,0.25,1,337.696,315,314.5
0.5,175,325,0.25,1,359.078,333.666,316.996
0.5,150,350,0.25,1,380.902,343.992,331.82
0.5,125,375,0.25,1,399.378,361.874,341.492
0.5,100,400,0.25,1,424.012,373.424,344.904
0.5,75,425,0.25,1,441.704,390.454,354.256
0.5,50,450,0.25,1,455.324,395.17,365.322
,,,,,,,
0.5,450,50,0.5,1,192.764,,
0.5,425,75,0.5,1,206.24,,
0.5,400,100,0.5,1,213.404,,
0.5,375,125,0.5,1,225.848,,
0.5,350,150,0.5,1,239.14,,
0.5,325,175,0.5,1,257.602,,
0.5,300,200,0.5,1,264.834,,
0.5,275,225,0.5,1,281.364,,
0.5,250,250,0.5,1,292.062,,
0.5,225,275,0.5,1,309.28,,
0.5,200,300,0.5,1,315,,
0.5,175,325,0.5,1,333.666,,
0.5,150,350,0.5,1,343.992,,
0.5,125,375,0.5,1,361.874,,
0.5,100,400,0.5,1,373.424,,
0.5,75,425,0.5,1,390.454,,
0.5,50,450,0.5,1,395.17,,
,,,,,,,
0.5,450,50,0.75,1,219.788,,
0.5,425,75,0.75,1,231.54,,
0.5,400,100,0.75,1,239.638,,
0.5,375,125,0.75,1,247.742,,
0.5,350,150,0.75,1,256.924,,
0.5,325,175,0.75,1,263.546,,
0.5,300,200,0.75,1,275.116,,
0.5,275,225,0.75,1,282.774,,
0.5,250,250,0.75,1,289.002,,
0.5,225,275,0.75,1,301.68,,
0.5,200,300,0.75,1,314.5,,
0.5,175,325,0.75,1,316.996,,
0.5,150,350,0.75,1,331.82,,
0.5,125,375,0.75,1,341.492,,
0.5,100,400,0.75,1,344.904,,
0.5,75,425,0.75,1,354.256,,
0.5,50,450,0.75,1,365.322,,
0.5,450,50,1,1,235.062,,
0.5,425,75,1,1,249.128,,
0.5,400,100,1,1,255.274,,
0.5,375,125,1,1,258.066,,
0.5,350,150,1,1,266.588,,
0.5,325,175,1,1,270.89,,
0.5,300,200,1,1,286.36,,
0.5,275,225,1,1,290.23,,
0.5,250,250,1,1,294.776,,
0.5,225,275,1,1,295.266,,
0.5,200,300,1,1,311.2,,
0.5,175,325,1,1,309.7,,
0.5,150,350,1,1,324.254,,
0.5,125,375,1,1,328.658,,
0.5,100,400,1,1,334.036,,
0.5,75,425,1,1,338.462,,
0.5,50,450,1,1,349.434,,
0.6,450,50,0.25,1,166.492,,
0.6,425,75,0.25,1,186.31,,
0.6,400,100,0.25,1,207.548,,
0.6,375,125,0.25,1,224.03,,
0.6,350,150,0.25,1,246.964,,
0.6,325,175,0.25,1,257.866,,
0.6,300,200,0.25,1,283.744,,
0.6,275,225,0.25,1,305.254,,
0.6,250,250,0.25,1,327.878,,
0.6,225,275,0.25,1,340.77,,
0.6,200,300,0.25,1,369.352,,
0.6,175,325,0.25,1,385.54,,
0.6,150,350,0.25,1,407.422,,
0.6,125,375,0.25,1,430.86,,
0.6,100,400,0.25,1,446.514,,
0.6,75,425,0.25,1,460.1,,
0.6,50,450,0.25,1,473.832,,
0.6,450,50,0.5,1,240.362,,
0.6,425,75,0.5,1,249.86,,
0.6,400,100,0.5,1,266.682,,
0.6,375,125,0.5,1,278.716,,
0.6,350,150,0.5,1,294.902,,
0.6,325,175,0.5,1,301.902,,
0.6,300,200,0.5,1,314.99,,
0.6,275,225,0.5,1,326.892,,
0.6,250,250,0.5,1,339.988,,
0.6,225,275,0.5,1,358.272,,
0.6,200,300,0.5,1,371.988,,
0.6,175,325,0.5,1,382.366,,
0.6,150,350,0.5,1,390.368,,
0.6,125,375,0.5,1,402.422,,
0.6,100,400,0.5,1,409.082,,
0.6,75,425,0.5,1,425.816,,
0.6,50,450,0.5,1,435.406,,
0.6,450,50,0.75,1,279.98,,
0.6,425,75,0.75,1,282.054,,
0.6,400,100,0.75,1,292.57,,
0.6,375,125,0.75,1,304.554,,
0.6,350,150,0.75,1,312.818,,
0.6,325,175,0.75,1,318.522,,
0.6,300,200,0.75,1,331.178,,
0.6,275,225,0.75,1,337.84,,
0.6,250,250,0.75,1,351.182,,
0.6,225,275,0.75,1,357,,
0.6,200,300,0.75,1,361.246,,
0.6,175,325,0.75,1,374.014,,
0.6,150,350,0.75,1,386.89,,
0.6,125,375,0.75,1,383.472,,
0.6,100,400,0.75,1,398.378,,
0.6,75,425,0.75,1,407.906,,
0.6,50,450,0.75,1,416.09,,
0.6,450,50,1,1,295.11,,
0.6,425,75,1,1,307.12,,
0.6,400,100,1,1,306.696,,
0.6,375,125,1,1,315.942,,
0.6,350,150,1,1,322.812,,
0.6,325,175,1,1,327.002,,
0.6,300,200,1,1,334.7,,
0.6,275,225,1,1,342.034,,
0.6,250,250,1,1,344.416,,
0.6,225,275,1,1,357.116,,
0.6,200,300,1,1,360.072,,
0.6,175,325,1,1,370.03,,
0.6,150,350,1,1,373.092,,
0.6,125,375,1,1,380.472,,
0.6,100,400,1,1,389.538,,
0.6,75,425,1,1,397.688,,
0.6,50,450,1,1,405.336,,
0.7,450,50,0.25,1,214.878,,
0.7,425,75,0.25,1,231.498,,
0.7,400,100,0.25,1,249.274,,
0.7,375,125,0.25,1,266.492,,
0.7,350,150,0.25,1,284.326,,
0.7,325,175,0.25,1,301.682,,
0.7,300,200,0.25,1,327.594,,
0.7,275,225,0.25,1,345.534,,
0.7,250,250,0.25,1,362.602,,
0.7,225,275,0.25,1,384.296,,
0.7,200,300,0.25,1,400.29,,
0.7,175,325,0.25,1,422.256,,
0.7,150,350,0.25,1,435.742,,
0.7,125,375,0.25,1,452.044,,
0.7,100,400,0.25,1,464.604,,
0.7,75,425,0.25,1,475.502,,
0.7,50,450,0.25,1,484.904,,
0.7,450,50,0.5,1,301.688,,
0.7,425,75,0.5,1,318.982,,
0.7,400,100,0.5,1,323.424,,
0.7,375,125,0.5,1,336.656,,
0.7,350,150,0.5,1,351.502,,
0.7,325,175,0.5,1,358,,
0.7,300,200,0.5,1,363.816,,
0.7,275,225,0.5,1,380.174,,
0.7,250,250,0.5,1,387.532,,
0.7,225,275,0.5,1,401.674,,
0.7,200,300,0.5,1,411.342,,
0.7,175,325,0.5,1,420.754,,
0.7,150,350,0.5,1,434.99,,
0.7,125,375,0.5,1,441.184,,
0.7,100,400,0.5,1,450.546,,
0.7,75,425,0.5,1,458.17,,
0.7,50,450,0.5,1,466.412,,
0.7,450,50,0.75,1,336.274,,
0.7,425,75,0.75,1,346.818,,
0.7,400,100,0.75,1,354.962,,
0.7,375,125,0.75,1,353.758,,
0.7,350,150,0.75,1,364.684,,
0.7,325,175,0.75,1,380.312,,
0.7,300,200,0.75,1,383.35,,
0.7,275,225,0.75,1,392.554,,
0.7,250,250,0.75,1,400.338,,
0.7,225,275,0.75,1,407.898,,
0.7,200,300,0.75,1,417.604,,
0.7,175,325,0.75,1,421.606,,
0.7,150,350,0.75,1,428.428,,
0.7,125,375,0.75,1,428.748,,
0.7,100,400,0.75,1,439.648,,
0.7,75,425,0.75,1,443.576,,
0.7,50,450,0.75,1,451.31,,
0.7,450,50,1,1,354.106,,
0.7,425,75,1,1,360.974,,
0.7,400,100,1,1,369.154,,
0.7,375,125,1,1,373.248,,
0.7,350,150,1,1,379.108,,
0.7,325,175,1,1,390.712,,
0.7,300,200,1,1,389.304,,
0.7,275,225,1,1,398.702,,
0.7,250,250,1,1,406.7,,
0.7,225,275,1,1,408.998,,
0.7,200,300,1,1,409.776,,
0.7,175,325,1,1,417.654,,
0.7,150,350,1,1,425.644,,
0.7,125,375,1,1,432.068,,
0.7,100,400,1,1,431.216,,
0.7,75,425,1,1,434.682,,
0.7,50,450,1,1,441.798,,
0.8,450,50,0.25,1,293.624,,
0.8,425,75,0.25,1,306.95,,
0.8,400,100,0.25,1,320.154,,
0.8,375,125,0.25,1,341.984,,
0.8,350,150,0.25,1,348.934,,
0.8,325,175,0.25,1,363.308,,
0.8,300,200,0.25,1,381.616,,
0.8,275,225,0.25,1,395.456,,
0.8,250,250,0.25,1,404.358,,
0.8,225,275,0.25,1,419.792,,
0.8,200,300,0.25,1,434.172,,
0.8,175,325,0.25,1,451.2,,
0.8,150,350,0.25,1,458.7,,
0.8,125,375,0.25,1,470.554,,
0.8,100,400,0.25,1,477.82,,
0.8,75,425,0.25,1,488.12,,
0.8,50,450,0.25,1,490.432,,
0.8,450,50,0.5,1,382.52,,
0.8,425,75,0.5,1,384.666,,
0.8,400,100,0.5,1,393.952,,
0.8,375,125,0.5,1,409.788,,
0.8,350,150,0.5,1,408.288,,
0.8,325,175,0.5,1,416.906,,
0.8,300,200,0.5,1,425.372,,
0.8,275,225,0.5,1,434.256,,
0.8,250,250,0.5,1,442.468,,
0.8,225,275,0.5,1,446.322,,
0.8,200,300,0.5,1,454.858,,
0.8,175,325,0.5,1,459.282,,
0.8,150,350,0.5,1,465.832,,
0.8,125,375,0.5,1,471.638,,
0.8,100,400,0.5,1,473.738,,
0.8,75,425,0.5,1,480.598,,
0.8,50,450,0.5,1,486.234,,
0.8,450,50,0.75,1,405.718,,
0.8,425,75,0.75,1,411.19,,
0.8,400,100,0.75,1,423.152,,
0.8,375,125,0.75,1,420.152,,
0.8,350,150,0.75,1,426.136,,
0.8,325,175,0.75,1,435.048,,
0.8,300,200,0.75,1,442.55,,
0.8,275,225,0.75,1,440.166,,
0.8,250,250,0.75,1,443.648,,
0.8,225,275,0.75,1,452.288,,
0.8,200,300,0.75,1,455.592,,
